dateTime,day T,night T,precipitation,pressure,huminity,wind
2023-11-01,13,9,2,744,80,5
2023-11-02,14,9,2,731,70,6
2023-11-03,12,8,1,733,68,4
2023-11-04,11,5,2,730,65,7
2023-11-05,12,8,2,727,79,5
2023-11-06,12,9,2,744,71,8
2023-11-07,11,8,2,750,75,6
2023-11-08,11,8,2,751,71,6
2023-11-09,9,8,2,745,84,6
2023-11-10,10,6,2,742,73,5
2023-11-11,9,6,2,745,88,5
2023-11-12,8,4,1,748,74,3
2023-11-13,13,2,2,743,95,4
2023-11-14,12,10,2,743,77,9
2023-11-15,10,8,2,752,88,5
2023-11-16,8,6,2,751,71,3
